Freq.	V(out)/V(in)
Step Information: R=1K  (Step: 3/3)
1.12201845430196e+04	(-2.74779491714640e+01dB,3.80073291273211e+00°)
1.25892541179416e+04	(-2.74733995909103e+01dB,3.36586981609031e+00°)
1.41253754462275e+04	(-2.74695886140221e+01dB,2.97519964470306e+00°)
1.58489319246110e+04	(-2.74663150399060e+01dB,2.62366517267556e+00°)
1.77827941003891e+04	(-2.74634056339562e+01dB,2.30668748431499e+00°)
1.99526231496887e+04	(-2.74607061366421e+01dB,2.02011537578309e+00°)
2.23872113856832e+04	(-2.74580731936299e+01dB,1.76017678723122e+00°)
2.51188643150956e+04	(-2.74553668082401e+01dB,1.52343237295216e+00°)
2.81838293126443e+04	(-2.74524429327280e+01dB,1.30673100933707e+00°)
3.16227766016836e+04	(-2.74491458137812e+01dB,1.10716677320127e+00°)
3.54813389233573e+04	(-2.74452996881380e+01dB,9.22036659315900e-01°)
3.98107170553494e+04	(-2.74406993839595e+01dB,7.48798008214318e-01°)
4.46683592150960e+04	(-2.74350993192093e+01dB,5.85024240914230e-01°)
5.01187233627269e+04	(-2.74282002950907e+01dB,4.28356992565249e-01°)
5.62341325190345e+04	(-2.74196333539724e+01dB,2.76452029804147e-01°)
6.30957344480188e+04	(-2.74089397980671e+01dB,1.26915323948129e-01°)
7.07945784384133e+04	(-2.73955462347862e+01dB,-2.27758168624493e-02°)
7.94328234724275e+04	(-2.73787332098699e+01dB,-1.75373805684170e-01°)
8.91250938133739e+04	(-2.73575955862945e+01dB,-3.33994457291138e-01°)
9.99999999999992e+04	(-2.73309922931490e+01dB,-5.02298481125764e-01°)
1.12201845430195e+05	(-2.72974823603541e+01dB,-6.84743174089374e-01°)
1.25892541179416e+05	(-2.72552432147188e+01dB,-8.86937745126797e-01°)
1.41253754462274e+05	(-2.72019659691343e+01dB,-1.11615293361227e+00°)
1.58489319246110e+05	(-2.71347208137012e+01dB,-1.38206297649466e+00°)
1.77827941003891e+05	(-2.70497835701660e+01dB,-1.69784246764010e+00°)
1.99526231496886e+05	(-2.69424120948579e+01dB,-2.08181463082326e+00°)
2.23872113856832e+05	(-2.68065590600869e+01dB,-2.55997372832664e+00°)
2.51188643150956e+05	(-2.66345075858275e+01dB,-3.16992548784526e+00°)
2.81838293126443e+05	(-2.64164238731187e+01dB,-3.96718760840150e+00°)
3.16227766016835e+05	(-2.61398527563168e+01dB,-5.03552697634268e+00°)
3.54813389233572e+05	(-2.57892853133809e+01dB,-6.50438670474901e+00°)
3.98107170553494e+05	(-2.53462418092527e+01dB,-8.57901256865521e+00°)
4.46683592150959e+05	(-2.47912554699157e+01dB,-1.15932563015577e+01°)
5.01187233627268e+05	(-2.41119444890149e+01dB,-1.60998940637831e+01°)
5.62341325190344e+05	(-2.33291991051428e+01dB,-2.30021252962722e+01°)
6.30957344480187e+05	(-2.25695516906551e+01dB,-3.36086825580779e+01°)
7.07945784384131e+05	(-2.21986059837184e+01dB,-4.89831138167464e+01°)
7.94328234724274e+05	(-2.27906265951594e+01dB,-6.76234881808515e+01°)
